neo_id,observatory_code,confidence_score
2164216,W88,
3189373,703,0.71
1834949,I41,0.90
3757692,UNKNOWN,0.55
3802409,G96,0.90
3678611,W88,0.79
3742875, G96,0.69
3567573,703,0.99
3651160,G96,0.50
1673480,W88,0.75
3842885,F51,null
3678630,F51,0.69
3686083,W88,0.95
3778654,W88,null
3544935,703,0.70
3754379,W88,0.61
3771633,F51,0.67
2524474,W88,null
3893638,W88,0.92
2253062, G96,0.75
3991578,W88,0.83
3843734,W88,0.94
3789741,G96,0.83
3666925,G96,0.96
3989138,F51,0.89
3746623,W88,0.84
3709137,F51,0.75
3794969,W88,0.89
1016930,I41,null
3879168,W88,0.97
3398648,I41,0.74
3740926,F51,0.85
2620082,F51,
3297182,I41,0.61
54375650,F51,0.85
3595776,703,0.91
3666430,UNKNOWN,N/A
2006691,W88,0.61
3666685,UNKNOWN,0.64
3035859,W88,0.87
3713273,703,0.87
3025766,UNKNOWN,0.76
3837923,W88,0.94
3727045,UNKNOWN,null
3102774,UNKNOWN,0.81
3752035,703,0.56
3764798,G96,0.77
2987261,UNKNOWN,0.91
3741151, G96,
3256323,G96,0.89
3843136, G96,0.73
3381260,UNKNOWN,0.68 
3311961,G96,0.99
3842867,G96,0.96
3989296,UNKNOWN,0.71
54049855,I41,0.70
3759245,F51,0.84
1912722,W88,0.63
2523728,I41,0.53
2955426,703,0.63
3386134,G96,0.79
2620101,UNKNOWN,0.84
3735684,I41,0.54
54054410, G96,0.83
3368738,I41,0.82
2136770,W88,0.64
3266031, G96,0.71
3989285,W88,0.75
3838249,703,null
3773919,F51,0.87
3879543,W88,0.67
3563709, G96,0.81
3756934,F51,0.93
1163963,I41,0.75
3893233,W88,0.92
3260274,W88,null
3724221,G96,0.65
3723951,W88,0.56
2628250, G96,0.53
2417874,I41,0.50
3646734,703,0.58
3799759, G96,0.93 
3736805,W88,0.54
3989278,I41,0.55
3648862,W88,0.77
3825135,W88,0.83
3653190,UNKNOWN,0.83
3773664, G96,0.72
3802037,G96,0.69
3398090,I41,0.77
3555171,F51,0.86
3467149,I41,0.90
1824495, G96,0.52
3067828,UNKNOWN,0.59
3445543,F51,0.61
3776123,W88,0.83
3401388,703,0.58
3836416,UNKNOWN,0.67
3836942,I41,0.55
3843155,G96,0.82
3761271,W88,null
3468430, G96,0.59
3661496,I41,0.67
3843733,F51,0.94
3991654,I41,0.60
3685269, G96,0.72
3883091,G96,0.86
3986773,G96,0.51
3276216,UNKNOWN,0.87
3837985,UNKNOWN,
3726894,W88,0.57
3764824,703,N/A
3824114,F51,
2357621,703,0.51
3757412,F51,0.70
2757474,703,0.56 
3989266,F51,0.62
2001620,703,0.58
3283898,F51,null
3827143,F51,0.78
3559842, G96,0.59
3318933,703,0.92 
3826623,F51,0.53 
3837685,W88,0.85
3744813,G96,null
3893447,G96,0.68
3892694,G96,0.59
3802579,703,0.51
3843605,F51,0.73
3645200,I41,0.97
3645042,W88,null
3647023,W88,0.88
3771018,W88,0.90
54137508, G96,0.66
3600236,I41,0.54
3767609,703,0.71
3734467,UNKNOWN,0.67
2504081,W88,0.69
3766322,F51,0.55
3448993,703,0.91
3703792, G96,0.64
3826685,I41,0.97
3827572,703,0.64
3789395, G96,
3743896,G96,0.66
3723817,UNKNOWN,0.90
3837804,W88,0.84
3457386,UNKNOWN,0.77
3843638, G96,0.73
3694987,I41,
3770142,I41,0.64
3893382,W88,null
3660383,UNKNOWN,0.93
3645793, G96,0.67
3674338,W88,0.57
3264188,UNKNOWN,0.78
3879541,703,0.93
3766164,G96,0.73
3661500,W88,N/A
